index,title,skills,company,city,state,type,salary,salary_type,sal_min,sal_max,sal_median,posted_date,origin
679,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
680,"PhD Associate Director, Data Science R&D (Decision Sciences Identity Team)",,Epsilon,Chicago,IL,Remote,$158000 - $199000,yearly,158000,199000,178500,,simplyhired.com
681,Applied Machine Learning Scientist - Data Technologies,ML,Bloomberg,New York,NY,Onsite,$160000 - $250000,yearly,160000,250000,205000,,simplyhired.com
682,Data Scientist,,The Intersect Group,Wooster,OH,Onsite,$100000 - $140000,yearly,100000,140000,120000,,simplyhired.com
683,Data Scientist,,Wish,San Francisco,CA,Onsite,$141000 - $169000,yearly,141000,169000,155000,,simplyhired.com
684,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
685,Senior Data Scientist,,Beam,,,Remote,$140000 - $170000,yearly,140000,170000,155000,,simplyhired.com
686,Jr. Data Scientist,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
687,Data Scientist,,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300,11100,49200,,simplyhired.com
688,"Data Scientist III, Cancer Genomics Research Laboratory (CGR)",,Frederick National Laboratory,Rockville,MD,Onsite,$94900 - $12000,yearly,94900,12000,53450,,simplyhired.com
689,Data Engineer or Data Engineer Senior,,Teacher Retirement System of Texas,Austin,TX,Onsite,,yearly,,,,,simplyhired.com
690,Sr. Data Scientist (ML / AI),"ML, AI",Reyes Holdings - Easy Apply,Des Plaines,IL,Hybrid,$120000 - $160000,yearly,120000,160000,140000,,simplyhired.com
691,Senior Data Analyst,,REV Federal Credit Union,Summerville,SC,Onsite,$75500 - $95600,yearly,75500,95600,85550,,simplyhired.com
692,Applied Statistician - Data Technologies,,Bloomberg,New York,NY,Onsite,$160000 - $250000,yearly,160000,250000,205000,,simplyhired.com
693,Data Scientist,,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
694,"Director, Artificial Intelligence & Data Science","AI, Data science",Walgreens,Deerfield,IL,Onsite,,yearly,,,,,simplyhired.com
695,Senior Data Analyst,,Experfy,Boston,MA,Onsite,$65 - $70 an hour,hourly,65,70,67.5,,simplyhired.com
696,Machine Learning Engineer,ML,Idea Evolver,,,Remote,$120000 - $160000,yearly,120000,160000,140000,,simplyhired.com
697,Data Scientist,,Tellus Solutions,,,Remote,,yearly,,,,,simplyhired.com
698,Data Scientist Trainee Cohort3,,Axle Informatics,Rockville,MD,Onsite,$51500 - $65200,yearly,51500,65200,58350,,simplyhired.com
699,Data Scientist,,ServiceMaster,,,Remote,$89400 - $11300,yearly,89400,11300,50350,,simplyhired.com
700,Data Scientist,,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000,131000,117500,,simplyhired.com
701,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
702,Senior AI Perception Algorithm Engineer/Scientist,AI,Black Sesame Technologies Inc,San Jose,CA,Onsite,$112000 - $142000,yearly,112000,142000,127000,,simplyhired.com
703,Sr Operations Data Analyst,,Hertz,Estero,FL,Onsite,,yearly,,,,,simplyhired.com
704,"Data Mining/Python/Machine learning/Marketing, Healthcare/Medispa","Python, ML, Data mining","Medical Aesthetics, Derm/Plastics",Los Angeles,CA,Onsite,$80000 - $130000,yearly,80000,130000,105000,,simplyhired.com
705,Data Scientist,,Wish,San Francisco,CA,Onsite,$141000 - $169000,yearly,141000,169000,155000,,simplyhired.com
706,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
707,Senior Data Scientist,,Beam,,,Remote,$140000 - $170000,yearly,140000,170000,155000,,simplyhired.com
708,Jr. Data Scientist,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
709,Data Scientist,,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300,11100,49200,,simplyhired.com
710,"Sr Data Analyst, AMERICAS",,Smart AdServer,Manhattan,NY,Onsite,$95000 - $115000,yearly,95000,115000,105000,,simplyhired.com
711,AI/ML Autonomous Vehicle Software Video Analyst,"ML, AI",Kett Engineering Corporation,Santa Clara,CA,Onsite,$27 an hour,hourly,27,,,,simplyhired.com
712,Data Science Engineer,,Atlantic Energy Partners,Houston,TX,Onsite,From $25 an hour,hourly,25,,,,simplyhired.com
713,Sr. Healthcare Data Analyst,,"Millennium Physicians Association, PLLC",Kingwood,TX,Onsite,$60800 - $77000,yearly,60800,77000,68900,,simplyhired.com
714,Project Manager with Data Science Experience,,"innoVet Health, LLC",,,Remote,From $130000,yearly,130000,,,,simplyhired.com
715,Data Scientist,,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
716,Senior Data Analyst - Operations,,Wilshire Law Firm PLC,Los Angeles,CA,Onsite,$150000 - $200000,yearly,150000,200000,175000,,simplyhired.com
717,Data Science Lead,,The Judge Group,Trenton,NJ,Onsite,,yearly,,,,,simplyhired.com
718,"Sup/Mgr/Sr. Mgr, Analytics & Data Science",,MatchPointe Group,Phoenix,AZ,Onsite,$120000 - $160000,yearly,120000,160000,140000,,simplyhired.com
719,Data Scientist Trainee Cohort3,,Axle Informatics,Rockville,MD,Onsite,$51500 - $65200,yearly,51500,65200,58350,,simplyhired.com
720,Data Scientist,,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000,131000,117500,,simplyhired.com
721,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
722,Data Scientist,,Wish,San Francisco,CA,Onsite,$141000 - $169000,yearly,141000,169000,155000,,simplyhired.com
723,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
724,Senior Predictive Modeler,,Sitewise Analytics,Dallas,TX,Onsite,From $90000,yearly,90000,,,,simplyhired.com
725,Senior Systems Engineer - Systems Modeling & Controls Expert,,Cenergy International Services,Boston,MA,Onsite,From $125000,yearly,125000,,,,simplyhired.com
726,Machine Learning Engineer,ML,"Smart Data Solutions, LLC",Saint Paul,MN,Onsite,$61400 - $77800,yearly,61400,77800,69600,,simplyhired.com
727,Senior Data Scientist,,Beam,,,Remote,$140000 - $170000,yearly,140000,170000,155000,,simplyhired.com
728,Jr. Data Scientist,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
729,Data Scientist,,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300,11100,49200,,simplyhired.com
730,Junior Data Scientist,,NYC Health + Hospitals,New York,NY,Onsite,$61000 - $85000,yearly,61000,85000,73000,,simplyhired.com
731,Data Scientist,,ConnectiveRx,,,Remote,$98900 - $12500,yearly,98900,12500,55700,,simplyhired.com
732,Senior Data Analyst - Finance,,Slim Chickens,Fayetteville,AR,Onsite,,yearly,,,,,simplyhired.com
733,CTO/Co-Founder for Marketing AI Software Startup,AI,AdSpace,Austin,TX,Onsite,$72700 - $92000,yearly,72700,92000,82350,,simplyhired.com
734,Senior Electro-Optical Sensor/Seeker Data Analyst,,Raytheon Missiles & Defense,Tucson,AZ,Onsite,,yearly,,,,,simplyhired.com
735,Machine Learning Engineer,ML,Vectrus,King George,VA,Onsite,$105000 - $155000,yearly,105000,155000,130000,,simplyhired.com
736,Senior Application Data Analyst,,Interborough Developmental and Consultation Center,Brooklyn,NY,Onsite,$100000 - $130000,yearly,100000,130000,115000,,simplyhired.com
737,Data Scientist,,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
738,Senior Application Data Analyst,,Interborough Developmental and Consultation Center,Brooklyn,NY,Onsite,$100000 - $130000,yearly,100000,130000,115000,,simplyhired.com
739,R20732 Statistical Analyst Consultant,,Regeneron,Tarrytown,NY,Onsite,,yearly,,,,,simplyhired.com
740,Statistical Programmer,,Talentech Consulting LLC,,,Remote,$97600 - $12400,yearly,97600,12400,55000,,simplyhired.com
741,Data Scientist Trainee Cohort3,,Axle Informatics,Rockville,MD,Onsite,$51500 - $65200,yearly,51500,65200,58350,,simplyhired.com
742,Data Scientist,,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000,131000,117500,,simplyhired.com
743,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
744,Data Scientist,,Wish,San Francisco,CA,Onsite,$141000 - $169000,yearly,141000,169000,155000,,simplyhired.com
745,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
746,Machine Learning InfraStructure Engineer,ML,JumpSmart,San Francisco,CA,Onsite,$124603 - $150060,yearly,124603,150060,137331.5,,simplyhired.com
747,Senior Data Analyst (Processing and Quality Control),Quality control,Postal Center International,Weston,FL,Onsite,From $115000,yearly,115000,,,,simplyhired.com
748,AI Engineer / Architect with Experience in Edtech or Gaming Industry,"Edtech or Gaming industry, AI",Stemuli Studios Inc.,,,Remote,From $100000,yearly,100000,,,,simplyhired.com
749,Senior Data Scientist,,Beam,,,Remote,$140000 - $170000,yearly,140000,170000,155000,,simplyhired.com
750,Jr. Data Scientist,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
751,Data Scientist,,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300,11100,49200,,simplyhired.com
752,Junior Data Scientist,,NYC Health + Hospitals,New York,NY,Onsite,$61000 - $85000,yearly,61000,85000,73000,,simplyhired.com
753,Data Scientist,,ConnectiveRx,,,Remote,$98900 - $12500,yearly,98900,12500,55700,,simplyhired.com
754,Senior Statistical Programmer,,Talentech Consulting LLC,,,Remote,$59705 - $120730,yearly,59705,120730,90217.5,,simplyhired.com
755,Sr. Data Analyst - AML Analytics & Customer Risk Rating,,PNC Financial Services Group,Pittsburgh,PA,Onsite,,yearly,,,,,simplyhired.com
756,"Software Engineer, AI Compiler (Principal/Senior Staff/Staff/Senior)",AI,Black Sesame Technologies Inc,San Jose,CA,Onsite,$118000 - $150000,yearly,118000,150000,134000,,simplyhired.com
757,Data Scientist,,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
758,Data Scientist,,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000,131000,117500,,simplyhired.com
759,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
760,Data Scientist,,Wish,San Francisco,CA,Onsite,$141000 - $169000,yearly,141000,169000,155000,,simplyhired.com
761,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
762,Jr. Data Scientist,,Net2Aspire,,,Remote,$65000 - $80000,yearly,65000,80000,72500,,simplyhired.com
763,Data Scientist,,Meduit,Waco,TX,Remote,$87300 - $11100,yearly,87300,11100,49200,,simplyhired.com
764,Junior Data Scientist,,NYC Health + Hospitals,New York,NY,Onsite,$61000 - $85000,yearly,61000,85000,73000,,simplyhired.com
765,Data Scientist,,ConnectiveRx,,,Remote,$98900 - $12500,yearly,98900,12500,55700,,simplyhired.com
766,Data Scientist,,Leaz EduTech OPC PVT LTD,,,Remote,$77732 - $192440,yearly,77732,192440,135086,,simplyhired.com
767,Data Scientist,,Kaizen Analytix,,,Remote,$50 - $60 an hour,hourly,50,60,55,,simplyhired.com
768,Data Scientist,,HCRM Consulting Corp,,,Remote,$50.70 - $63.46 an hour,hourly,50.7,63.46,57.08,,simplyhired.com
769,Junior Data Scientist,,Enhance IT,New York,NY,Onsite,,yearly,,,,,simplyhired.com
770,Data Scientist,,Hertz,Estero,FL,Onsite,,yearly,,,,,simplyhired.com
771,"Scientist 2, Enterprise Data Analytics & Data Intelligence",,Comcast,Englewood,CO,Onsite,,yearly,,,,,simplyhired.com
772,Data Scientist,,Zen Strategics LLC,,,Remote,$104000 - $131000,yearly,104000,131000,117500,,simplyhired.com
773,Senior Data Scientist,,FutureFit AI,New York,NY,Onsite,$141000 - $178000,yearly,141000,178000,159500,,simplyhired.com
774,Data Scientist,,Maddisoft,Houston,TX,Onsite,$95000 - $110000,yearly,95000,110000,102500,,simplyhired.com
